2024-11-26 17:12:49.825542, SPY, Buy
2024-11-26 17:13:40.193985, SPY, Sell
2024-11-26 17:14:40.288473, SPY, Buy
2024-11-26 17:15:40.367215, SPY, Buy
2024-11-26 17:16:40.461943, SPY, Buy
2024-11-26 17:17:40.556323, SPY, Sell
2024-11-26 17:18:40.684074, SPY, Buy
2024-11-26 17:19:40.767418, SPY, Buy
2024-11-26 17:20:40.854150, SPY, Buy
2024-11-26 17:21:41.175361, SPY, Buy
2024-11-26 17:22:41.327287, SPY, Buy
2024-11-26 17:23:41.421053, SPY, Buy
2024-11-26 17:24:41.843843, SPY, Buy
2024-11-26 17:25:41.979620, SPY, Buy
2024-11-26 17:26:42.170333, SPY, Buy
2024-11-26 17:27:42.279435, SPY, Buy
2024-11-26 17:28:42.401708, SPY, Buy
2024-11-26 17:29:42.484060, SPY, Buy
2024-11-26 17:30:42.566568, SPY, Buy
2024-11-26 17:31:42.714532, SPY, Buy
2024-11-26 17:32:42.804038, SPY, Buy
2024-11-26 17:33:42.885349, SPY, Buy
2024-11-26 17:34:42.961483, SPY, Buy
2024-11-26 17:35:43.048826, SPY, Buy
